pooling_edges,K,decoupled,id,num_layers,pooling_nodes,dataset,seed,reward,conv,pool
0.9,3,TRUE,Q7yQA,5,0.9,NCI1,66,0.776155718,LiCheb,EdgePool
0.9,3,TRUE,Z5RxX,5,0.9,NCI1,77,0.798053528,LiCheb,EdgePool
0.9,3,TRUE,lr68C,5,0.9,NCI1,88,0.759124088,LiCheb,EdgePool
0.9,3,TRUE,Edy50,5,0.9,NCI1,99,0.727493917,LiCheb,EdgePool
0.9,3,TRUE,kLy8f,5,0.9,NCI1,110,0.795620438,LiCheb,EdgePool
0.4,3,TRUE,IjnP2,5,0.9,NCI109,11,0.765700483,LiCheb,EdgePool
0.4,3,TRUE,ooN5W,5,0.9,NCI109,22,0.741545894,LiCheb,EdgePool
0.4,3,TRUE,ZgmDY,5,0.9,NCI109,33,0.760869565,LiCheb,EdgePool
0.4,3,TRUE,wfAB5,5,0.9,NCI109,44,0.758454106,LiCheb,EdgePool
0.4,3,TRUE,AQnJw,5,0.9,NCI109,55,0.765700483,LiCheb,EdgePool
0.4,3,TRUE,fjDSR,5,0.9,NCI109,66,0.799516908,LiCheb,EdgePool
0.4,3,TRUE,iVOUr,5,0.9,NCI109,77,0.760869565,LiCheb,EdgePool
0.4,3,TRUE,wEMS7,5,0.9,NCI109,88,0.782608696,LiCheb,EdgePool
0.4,3,TRUE,znOeD,5,0.9,NCI109,99,0.792270531,LiCheb,EdgePool
0.4,3,TRUE,PqyXp,5,0.9,NCI109,110,0.748792271,LiCheb,EdgePool
0.8,3,TRUE,CbeWH,5,0.9,Mutagenicity,11,0.781609195,LiCheb,EdgePool
0.8,3,TRUE,Fwu8O,5,0.9,Mutagenicity,22,0.818390805,LiCheb,EdgePool
0.8,3,TRUE,UOf7Z,5,0.9,Mutagenicity,33,0.774712644,LiCheb,EdgePool
0.8,3,TRUE,XJtNx,5,0.9,Mutagenicity,44,0.855172414,LiCheb,EdgePool
0.8,3,TRUE,S7tN2,5,0.9,Mutagenicity,55,0.813793103,LiCheb,EdgePool
0.8,3,TRUE,BSp0e,5,0.9,Mutagenicity,66,0.811494253,LiCheb,EdgePool
0.8,3,TRUE,MY6Fc,5,0.9,Mutagenicity,77,0.809195402,LiCheb,EdgePool
0.8,3,TRUE,O4BOr,5,0.9,Mutagenicity,88,0.75862069,LiCheb,EdgePool
0.8,3,TRUE,C24SU,5,0.9,Mutagenicity,99,0.804597701,LiCheb,EdgePool
0.8,3,TRUE,kzTij,5,0.9,Mutagenicity,110,0.8,LiCheb,EdgePool
0.4,3,TRUE,TXzqu,5,0.8,ENZYMES,11,0.45,LiCheb,EdgePool
0.4,3,TRUE,N6MKX,5,0.8,ENZYMES,22,0.55,LiCheb,EdgePool
0.4,3,TRUE,uNyBc,5,0.8,ENZYMES,33,0.266666667,LiCheb,EdgePool
0.4,3,TRUE,Y8ZQt,5,0.8,ENZYMES,44,0.433333333,LiCheb,EdgePool
0.4,3,TRUE,NNmVz,5,0.8,ENZYMES,55,0.4,LiCheb,EdgePool
0.4,3,TRUE,GCbaC,5,0.8,ENZYMES,66,0.416666667,LiCheb,EdgePool
0.4,3,TRUE,LYLh6,5,0.8,ENZYMES,77,0.383333333,LiCheb,EdgePool
0.4,3,TRUE,L36te,5,0.8,ENZYMES,88,0.316666667,LiCheb,EdgePool
0.4,3,TRUE,Wy6yz,5,0.8,ENZYMES,99,0.516666667,LiCheb,EdgePool
0.4,3,TRUE,kg3f1,5,0.8,ENZYMES,110,0.233333333,LiCheb,EdgePool
0.6,3,TRUE,Rgyc5,5,0.9,FRANKENSTEIN,11,0.648275862,LiCheb,EdgePool
0.6,3,TRUE,U9Zmu,5,0.9,FRANKENSTEIN,22,0.620689655,LiCheb,EdgePool
0.6,3,TRUE,lI3Wv,5,0.9,FRANKENSTEIN,33,0.634482759,LiCheb,EdgePool
0.6,3,TRUE,pW00J,5,0.9,FRANKENSTEIN,44,0.632183908,LiCheb,EdgePool
0.6,3,TRUE,pru6c,5,0.9,FRANKENSTEIN,55,0.657471264,LiCheb,EdgePool
0.6,3,TRUE,RXBrV,5,0.9,FRANKENSTEIN,66,0.632183908,LiCheb,EdgePool
0.6,3,TRUE,GVi5o,5,0.9,FRANKENSTEIN,77,0.696551724,LiCheb,EdgePool
0.6,3,TRUE,dUBmf,5,0.9,FRANKENSTEIN,88,0.659770115,LiCheb,EdgePool
0.6,3,TRUE,RvOkP,5,0.9,FRANKENSTEIN,99,0.689655172,LiCheb,EdgePool
0.6,3,TRUE,C5Jly,5,0.9,FRANKENSTEIN,110,0.593103448,LiCheb,EdgePool
0.7,3,TRUE,J8b1R,5,0.8,DD,44,0.823529412,LiCheb,EdgePool
0.7,3,TRUE,ogI0I,5,0.8,DD,55,0.781512605,LiCheb,EdgePool
0.7,3,TRUE,nvOGf,5,0.8,DD,66,0.81512605,LiCheb,EdgePool
0.7,3,TRUE,cuCOU,5,0.8,DD,77,0.731092437,LiCheb,EdgePool
0.7,3,TRUE,R1tGG,5,0.8,DD,88,0.756302521,LiCheb,EdgePool
0.9,3,TRUE,vJAX4,5,0.9,NCI1,22,0.768856448,LiCheb,EdgePool
0.7,3,TRUE,BtNhW,5,0.8,DD,33,0.722689076,LiCheb,EdgePool
0.8,3,TRUE,FbsXx,5,0.6,PROTEINS,11,0.785714286,LiCheb,LookHops
0.8,3,TRUE,Kir34,5,0.6,PROTEINS,22,0.732142857,LiCheb,LookHops
0.8,3,TRUE,fbzbx,5,0.6,PROTEINS,33,0.696428571,LiCheb,LookHops
0.8,3,TRUE,YE1wB,5,0.6,PROTEINS,44,0.732142857,LiCheb,LookHops
0.8,3,TRUE,G63fo,5,0.6,PROTEINS,55,0.75,LiCheb,LookHops
0.8,3,TRUE,su5dF,5,0.6,PROTEINS,66,0.803571429,LiCheb,LookHops
0.8,3,TRUE,IZsQK,5,0.6,PROTEINS,77,0.8125,LiCheb,LookHops
0.8,3,TRUE,U59fk,5,0.6,PROTEINS,88,0.848214286,LiCheb,LookHops
0.8,3,TRUE,oGApm,5,0.6,PROTEINS,99,0.732142857,LiCheb,LookHops
0.8,3,TRUE,r94aM,5,0.6,PROTEINS,110,0.741071429,LiCheb,LookHops
0.7,3,TRUE,rgTKE,5,0.8,DD,11,0.705882353,LiCheb,LookHops
0.7,3,TRUE,XL6qY,5,0.8,DD,22,0.789915966,LiCheb,LookHops
0.7,3,TRUE,lRUmt,5,0.8,DD,33,0.722689076,LiCheb,LookHops
0.7,3,TRUE,g534l,5,0.8,DD,44,0.789915966,LiCheb,LookHops
0.7,3,TRUE,PJADF,5,0.8,DD,55,0.705882353,LiCheb,LookHops
0.7,3,TRUE,dHjgl,5,0.8,DD,88,0.798319328,LiCheb,LookHops
0.7,3,TRUE,aktO3,5,0.8,DD,99,0.739495798,LiCheb,LookHops
0.7,3,TRUE,hhGTJ,5,0.8,DD,110,0.789915966,LiCheb,LookHops
0.9,3,TRUE,wJi16,5,0.9,NCI1,11,0.766423358,LiCheb,LookHops
0.9,3,TRUE,uJEhB,5,0.9,NCI1,33,0.773722628,LiCheb,LookHops
0.9,3,TRUE,H0Y8Y,5,0.9,NCI1,44,0.805352798,LiCheb,LookHops
0.9,3,TRUE,AmRI4,5,0.9,NCI1,55,0.766423358,LiCheb,LookHops
0.9,3,TRUE,IiIOW,5,0.9,NCI1,66,0.742092457,LiCheb,LookHops
0.9,3,TRUE,ggNcl,5,0.9,NCI1,77,0.827250608,LiCheb,LookHops
0.9,3,TRUE,JYqnt,5,0.9,NCI1,88,0.751824818,LiCheb,LookHops
0.9,3,TRUE,NZeUR,5,0.9,NCI1,99,0.783454988,LiCheb,LookHops
0.9,3,TRUE,tGU2x,5,0.9,NCI1,110,0.798053528,LiCheb,LookHops
0.4,3,TRUE,uB0Wz,5,0.9,NCI109,11,0.722222222,LiCheb,LookHops
0.4,3,TRUE,B40Ak,5,0.9,NCI109,22,0.770531401,LiCheb,LookHops
0.4,3,TRUE,C7SOS,5,0.9,NCI109,33,0.743961353,LiCheb,LookHops
0.4,3,TRUE,LdoBY,5,0.9,NCI109,44,0.782608696,LiCheb,LookHops
0.4,3,TRUE,DMxy1,5,0.9,NCI109,55,0.792270531,LiCheb,LookHops
0.4,3,TRUE,Mu7lD,5,0.9,NCI109,66,0.756038647,LiCheb,LookHops
0.4,3,TRUE,KsvcT,5,0.9,NCI109,77,0.768115942,LiCheb,LookHops
0.4,3,TRUE,wsrax,5,0.9,NCI109,88,0.777777778,LiCheb,LookHops
0.4,3,TRUE,WSGP2,5,0.9,NCI109,99,0.777777778,LiCheb,LookHops
0.4,3,TRUE,lqUQ4,5,0.9,NCI109,110,0.758454106,LiCheb,LookHops
0.8,3,TRUE,xO1nn,5,0.9,Mutagenicity,11,0.797701149,LiCheb,LookHops
0.8,3,TRUE,MdZMB,5,0.9,Mutagenicity,22,0.774712644,LiCheb,LookHops
0.8,3,TRUE,lxXxz,5,0.9,Mutagenicity,33,0.777011494,LiCheb,LookHops
0.8,3,TRUE,pUkov,5,0.9,Mutagenicity,44,0.83908046,LiCheb,LookHops
0.8,3,TRUE,d5lP6,5,0.9,Mutagenicity,55,0.816091954,LiCheb,LookHops
0.8,3,TRUE,JPbtB,5,0.9,Mutagenicity,66,0.806896552,LiCheb,LookHops
0.8,3,TRUE,huqKW,5,0.9,Mutagenicity,77,0.786206897,LiCheb,LookHops
0.8,3,TRUE,Dy27m,5,0.9,Mutagenicity,88,0.751724138,LiCheb,LookHops
0.8,3,TRUE,akUye,5,0.9,Mutagenicity,99,0.774712644,LiCheb,LookHops
0.8,3,TRUE,PaUc6,5,0.9,Mutagenicity,110,0.806896552,LiCheb,LookHops
0.4,3,TRUE,FsauR,5,0.8,ENZYMES,11,0.283333333,LiCheb,LookHops
0.4,3,TRUE,u2wLj,5,0.8,ENZYMES,22,0.366666667,LiCheb,LookHops
0.4,3,TRUE,YSpPh,5,0.8,ENZYMES,33,0.333333333,LiCheb,LookHops
0.4,3,TRUE,tsPrL,5,0.8,ENZYMES,44,0.5,LiCheb,LookHops
0.4,3,TRUE,OPjQ2,5,0.8,ENZYMES,55,0.333333333,LiCheb,LookHops
0.4,3,TRUE,FFOdR,5,0.8,ENZYMES,66,0.516666667,LiCheb,LookHops
0.4,3,TRUE,UojbY,5,0.8,ENZYMES,77,0.35,LiCheb,LookHops
0.4,3,TRUE,mzTG4,5,0.8,ENZYMES,88,0.283333333,LiCheb,LookHops
0.4,3,TRUE,r4HRR,5,0.8,ENZYMES,99,0.2,LiCheb,LookHops
0.4,3,TRUE,B9B90,5,0.8,ENZYMES,110,0.283333333,LiCheb,LookHops
0.6,3,TRUE,vNQwk,5,0.9,FRANKENSTEIN,11,0.63908046,LiCheb,LookHops
0.6,3,TRUE,EXTr2,5,0.9,FRANKENSTEIN,22,0.657471264,LiCheb,LookHops
0.6,3,TRUE,UukFf,5,0.9,FRANKENSTEIN,33,0.668965517,LiCheb,LookHops
0.6,3,TRUE,jztp3,5,0.9,FRANKENSTEIN,44,0.606896552,LiCheb,LookHops
0.6,3,TRUE,I76E0,5,0.9,FRANKENSTEIN,55,0.673563218,LiCheb,LookHops
0.6,3,TRUE,BjWQb,5,0.9,FRANKENSTEIN,66,0.655172414,LiCheb,LookHops
0.6,3,TRUE,EsEmG,5,0.9,FRANKENSTEIN,77,0.629885057,LiCheb,LookHops
0.6,3,TRUE,osnfJ,5,0.9,FRANKENSTEIN,88,0.655172414,LiCheb,LookHops
0.6,3,TRUE,AJCCu,5,0.9,FRANKENSTEIN,99,0.645977011,LiCheb,LookHops
0.6,3,TRUE,K8TpV,5,0.9,FRANKENSTEIN,110,0.664367816,LiCheb,LookHops
0.7,3,TRUE,iDoHR,5,0.8,DD,66,0.831932773,LiCheb,LookHops
0.7,3,TRUE,MOgMc,5,0.8,DD,77,0.764705882,LiCheb,LookHops
0.9,3,TRUE,gNM7B,5,0.9,NCI1,22,0.805352798,LiCheb,LookHops
0.8,3,TRUE,g2Fxs,5,0.6,PROTEINS,11,0.767857143,LiCheb,SAGPool
0.8,3,TRUE,mBjOV,5,0.6,PROTEINS,22,0.678571429,LiCheb,SAGPool
0.8,3,TRUE,A0Fbw,5,0.6,PROTEINS,33,0.714285714,LiCheb,SAGPool
0.8,3,TRUE,rsgVD,5,0.6,PROTEINS,44,0.767857143,LiCheb,SAGPool
0.8,3,TRUE,GRiJr,5,0.6,PROTEINS,55,0.767857143,LiCheb,SAGPool
0.8,3,TRUE,zvz2Y,5,0.6,PROTEINS,66,0.830357143,LiCheb,SAGPool
0.8,3,TRUE,Ddejm,5,0.6,PROTEINS,77,0.866071429,LiCheb,SAGPool
0.8,3,TRUE,bwbEy,5,0.6,PROTEINS,88,0.767857143,LiCheb,SAGPool
0.8,3,TRUE,Lv9hj,5,0.6,PROTEINS,99,0.696428571,LiCheb,SAGPool
0.8,3,TRUE,SlHK1,5,0.6,PROTEINS,110,0.607142857,LiCheb,SAGPool
0.7,3,TRUE,lR9YK,5,0.8,DD,11,0.697478992,LiCheb,SAGPool
0.7,3,TRUE,qBHhf,5,0.8,DD,22,0.798319328,LiCheb,SAGPool
0.7,3,TRUE,wEQ8V,5,0.8,DD,33,0.756302521,LiCheb,SAGPool
0.7,3,TRUE,gSYV2,5,0.8,DD,44,0.798319328,LiCheb,SAGPool
0.7,3,TRUE,z5usj,5,0.8,DD,88,0.74789916,LiCheb,SAGPool
0.9,3,TRUE,FBSo2,5,0.9,NCI1,11,0.732360097,LiCheb,SAGPool
0.9,3,TRUE,tfNNn,5,0.9,NCI1,22,0.746958637,LiCheb,SAGPool
0.9,3,TRUE,nHUoY,5,0.9,NCI1,33,0.734793187,LiCheb,SAGPool
0.9,3,TRUE,dKuH8,5,0.9,NCI1,44,0.768856448,LiCheb,SAGPool
0.9,3,TRUE,vFmpw,5,0.9,NCI1,66,0.739659367,LiCheb,SAGPool
0.9,3,TRUE,PJPNg,5,0.9,NCI1,99,0.771289538,LiCheb,SAGPool
0.9,3,TRUE,GRakC,5,0.9,NCI1,110,0.749391727,LiCheb,SAGPool
0.4,3,TRUE,sZMyv,5,0.9,NCI109,11,0.748792271,LiCheb,SAGPool
0.4,3,TRUE,QoOcQ,5,0.9,NCI109,22,0.741545894,LiCheb,SAGPool
0.4,3,TRUE,KqQSD,5,0.9,NCI109,33,0.729468599,LiCheb,SAGPool
0.4,3,TRUE,V3PDn,5,0.9,NCI109,44,0.777777778,LiCheb,SAGPool
0.4,3,TRUE,q8Zhs,5,0.9,NCI109,55,0.760869565,LiCheb,SAGPool
0.4,3,TRUE,yho8j,5,0.9,NCI109,66,0.775362319,LiCheb,SAGPool
0.4,3,TRUE,wPg65,5,0.9,NCI109,77,0.770531401,LiCheb,SAGPool
0.4,3,TRUE,Seeni,5,0.9,NCI109,88,0.770531401,LiCheb,SAGPool
0.4,3,TRUE,rDsDB,5,0.9,NCI109,99,0.801932367,LiCheb,SAGPool
0.4,3,TRUE,JajC0,5,0.9,NCI109,110,0.724637681,LiCheb,SAGPool
0.8,3,TRUE,d832d,5,0.9,Mutagenicity,11,0.763218391,LiCheb,SAGPool
0.8,3,TRUE,VHvhi,5,0.9,Mutagenicity,22,0.793103448,LiCheb,SAGPool
0.8,3,TRUE,qW2BJ,5,0.9,Mutagenicity,33,0.75862069,LiCheb,SAGPool
0.8,3,TRUE,PK4ha,5,0.9,Mutagenicity,44,0.806896552,LiCheb,SAGPool
0.8,3,TRUE,UpZWc,5,0.9,Mutagenicity,55,0.797701149,LiCheb,SAGPool
0.8,3,TRUE,NdqCy,5,0.9,Mutagenicity,66,0.756321839,LiCheb,SAGPool
0.8,3,TRUE,lLr6d,5,0.9,Mutagenicity,77,0.8,LiCheb,SAGPool
0.8,3,TRUE,NLub7,5,0.9,Mutagenicity,88,0.76091954,LiCheb,SAGPool
0.8,3,TRUE,fANqY,5,0.9,Mutagenicity,99,0.797701149,LiCheb,SAGPool
0.8,3,TRUE,yNneF,5,0.9,Mutagenicity,110,0.777011494,LiCheb,SAGPool
0.4,3,TRUE,jS2uJ,5,0.8,ENZYMES,11,0.5,LiCheb,SAGPool
0.4,3,TRUE,XAYJB,5,0.8,ENZYMES,22,0.283333333,LiCheb,SAGPool
0.4,3,TRUE,JgytX,5,0.8,ENZYMES,33,0.4,LiCheb,SAGPool
0.4,3,TRUE,wnppD,5,0.8,ENZYMES,44,0.4,LiCheb,SAGPool
0.4,3,TRUE,G7H90,5,0.8,ENZYMES,55,0.3,LiCheb,SAGPool
0.4,3,TRUE,Jv65C,5,0.8,ENZYMES,66,0.6,LiCheb,SAGPool
0.4,3,TRUE,yCowx,5,0.8,ENZYMES,77,0.466666667,LiCheb,SAGPool
0.4,3,TRUE,wcpNO,5,0.8,ENZYMES,88,0.3,LiCheb,SAGPool
0.4,3,TRUE,xxFZG,5,0.8,ENZYMES,99,0.283333333,LiCheb,SAGPool
0.4,3,TRUE,rE6au,5,0.8,ENZYMES,110,0.133333333,LiCheb,SAGPool
0.6,3,TRUE,ZiEV1,5,0.9,FRANKENSTEIN,11,0.634482759,LiCheb,SAGPool
0.6,3,TRUE,heYbJ,5,0.9,FRANKENSTEIN,22,0.618390805,LiCheb,SAGPool
0.6,3,TRUE,PFzlY,5,0.9,FRANKENSTEIN,33,0.627586207,LiCheb,SAGPool
0.6,3,TRUE,Z98Iu,5,0.9,FRANKENSTEIN,44,0.602298851,LiCheb,SAGPool
0.6,3,TRUE,lOMyQ,5,0.9,FRANKENSTEIN,55,0.645977011,LiCheb,SAGPool
0.6,3,TRUE,lYsA1,5,0.9,FRANKENSTEIN,66,0.64137931,LiCheb,SAGPool
0.6,3,TRUE,Zw3Rm,5,0.9,FRANKENSTEIN,77,0.67816092,LiCheb,SAGPool
0.6,3,TRUE,Wfw0P,5,0.9,FRANKENSTEIN,88,0.701149425,LiCheb,SAGPool
0.6,3,TRUE,ICNXf,5,0.9,FRANKENSTEIN,99,0.627586207,LiCheb,SAGPool
0.6,3,TRUE,O1voT,5,0.9,FRANKENSTEIN,110,0.627586207,LiCheb,SAGPool
0.7,3,TRUE,ufr4i,5,0.8,DD,55,0.739495798,LiCheb,SAGPool
0.7,3,TRUE,gQB3G,5,0.8,DD,66,0.806722689,LiCheb,SAGPool
0.7,3,TRUE,cZSqt,5,0.8,DD,77,0.731092437,LiCheb,SAGPool
0.7,3,TRUE,mjZCY,5,0.8,DD,99,0.705882353,LiCheb,SAGPool
0.7,3,TRUE,XVMbH,5,0.8,DD,110,0.697478992,LiCheb,SAGPool
0.9,3,TRUE,Bjkqp,5,0.9,NCI1,55,0.768856448,LiCheb,SAGPool
0.9,3,TRUE,wgy6q,5,0.9,NCI1,77,0.727493917,LiCheb,SAGPool
0.9,3,TRUE,gq0b5,5,0.9,NCI1,88,0.756690998,LiCheb,SAGPool
0.8,3,TRUE,bVpDN,5,0.6,PROTEINS,11,0.723214286,LiCheb,TopkPool
0.8,3,TRUE,jqacs,5,0.6,PROTEINS,22,0.732142857,LiCheb,TopkPool
0.8,3,TRUE,PT4HZ,5,0.6,PROTEINS,33,0.75,LiCheb,TopkPool
0.8,3,TRUE,r0gMb,5,0.6,PROTEINS,44,0.6875,LiCheb,TopkPool
0.8,3,TRUE,mfB7h,5,0.6,PROTEINS,55,0.741071429,LiCheb,TopkPool
0.8,3,TRUE,vxySh,5,0.6,PROTEINS,66,0.776785714,LiCheb,TopkPool
0.8,3,TRUE,TWZ2X,5,0.6,PROTEINS,77,0.776785714,LiCheb,TopkPool
0.8,3,TRUE,v6phx,5,0.6,PROTEINS,88,0.741071429,LiCheb,TopkPool
